Name of Account, Dollar Value in Millions, Date (yymmdd)
"Fed. Highway Administration programs",86,130103
"Federal Salaries",417,130103
"Food and Nutrition Service",250,130103
"GSA programs",40,130103
"Health and Human Services Grants",458,130103
"Housing and Urban Development programs",194,130103
"Interest on Treasury Securities",1,130103
"IRS Tax Refunds Business",3,130103
"IRS Tax Refunds Individual",44,130103
"Justice Department programs",39,130103
"Labor Dept. prgms",53,130103
"Medicaid",1663,130103
"Medicare",1809,130103
"NASA programs",155,130103
"Postal Service Money Orders and Other",137,130103
"Public Debt Cash Redemp.",100352,130103
"Social Security Benefits",23740,130103
"Supple. Nutrition Assist. Program",3,130103
"Transportation Security Admin.",0,130103
"Unemployment Insurance Benefits",475,130103
"Veterans Affairs programs",113,130103
"Emergency Prep &",205,130103
"Federal Crop Ins. Corp.",243,130103
"Unclassified",908,130103
"Total, Other Withdrawals",2639,130103
"Transfers to Depositaries",0,130103
"Commodity Credit Corporation programs",95,130102
"Defense Vendor Payments",323,130102
"Education Department programs",807,130102
"Energy Department programs",118,130102
"Federal Employees Insurance Payments",106,130102
"Fed. Highway Administration programs",232,130102
"Federal Salaries",154,130102
"Food and Nutrition Service",334,130102
"GSA programs",515,130102
"Health and Human Services Grants",299,130102
"Housing and Urban Development programs",2534,130102
"Interest on Treasury Securities",412,130102
"IRS Tax Refunds Business",10,130102
"IRS Tax Refunds Individual",3,130102
"Justice Department programs",18,130102
"Labor Dept. prgms",41,130102
"Medicaid",598,130102
"Medicare",17939,130102
"NASA programs",0,130102
"Postal Service Money Orders and Other",150,130102
"Public Debt Cash Redemp.",6684,130102
"Social Security Benefits",195,130102
"Supple. Nutrition Assist. Program",9,130102
"Transportation Security Admin.",0,130102
"Unemployment Insurance Benefits",553,130102
"Veterans Affairs programs",177,130102
"Civil Service Retirement",4994,130102
"Emergency Prep &",76,130102
"Federal Crop Ins. Corp.",178,130102
"Military Retirement",314,130102
"Railroad Retirement",975,130102
"Supple. Security Income Benefits",81,130102
"Unclassified",910,130102
"Total, Other Withdrawals",7585,130102
"Transfers to Depositaries",0,130102
"Commodity Credit Corporation programs",73,121231
"Defense Vendor Payments",1395,121231
"Education Department programs",1581,121231
"Energy Department programs",194,121231
"Federal Employees Insurance Payments",390,121231
"Fed. Highway Administration programs",18,121231
"Federal Salaries",332,121231
"Food and Nutrition Service",387,121231
"GSA programs",70,121231
"Health and Human Services Grants",467,121231
"Housing and Urban Development programs",181,121231
"Interest on Treasury Securities",6018,121231
"IRS Tax Refunds Business",0,121231
"IRS Tax Refunds Individual",0,121231
"Justice Department programs",41,121231
"Labor Dept. prgms",40,121231
"Medicaid",447,121231
"Medicare",1429,121231
"NASA programs",0,121231
"Postal Service Money Orders and Other",433,121231
"Public Debt Cash Redemp.",79490,121231
"Social Security Benefits",0,121231
"Supple. Nutrition Assist. Program",23,121231
"Transportation Security Admin.",0,121231
"Unemployment Insurance Benefits",246,121231
"Veterans Affairs programs",577,121231
"Emergency Prep &",85,121231
"Federal Crop Ins. Corp.",130,121231
"Military Active Duty Pay",3779,121231
"Military Retirement",3733,121231
"Supple. Security Income Benefits",3672,121231
"Veterans Benefits",4411,121231
"Unclassified",888,121231
"Total, Other Withdrawals",16697,121231
"Transfers to Depositaries",0,121231
"Commodity Credit Corporation programs",125,121228
"Defense Vendor Payments",861,121228
"Education Department programs",835,121228
"Energy Department programs",116,121228
"Federal Employees Insurance Payments",182,121228
"Fed. Highway Administration programs",318,121228
"Federal Salaries",111,121228
"Food and Nutrition Service",151,121228
"GSA programs",47,121228
"Health and Human Services Grants",497,121228
"Housing and Urban Development programs",215,121228
"Interest on Treasury Securities",3,121228
"IRS Tax Refunds Business",5,121228
"IRS Tax Refunds Individual",5,121228
"Justice Department programs",110,121228
"Labor Dept. prgms",70,121228
"Medicaid",2274,121228
"Medicare",1728,121228
"NASA programs",0,121228
"Postal Service Money Orders and Other",123,121228
"Public Debt Cash Redemp.",3733,121228
"Social Security Benefits",1,121228
"Supple. Nutrition Assist. Program",10,121228
"Transportation Security Admin.",1,121228
"Unemployment Insurance Benefits",287,121228
"Veterans Affairs programs",202,121228
"Emergency Prep &",67,121228
"Federal Crop Ins. Corp.",125,121228
"Federal Financing Bank",115,121228
"Unclassified",906,121228
"Total, Other Withdrawals",2391,121228
"Transfers to Depositaries",0,121228
"Commodity Credit Corporation programs",81,121227
"Defense Vendor Payments",1583,121227
"Education Department programs",1228,121227
"Energy Department programs",148,121227
"Federal Employees Insurance Payments",835,121227
"Fed. Highway Administration programs",160,121227
"Federal Salaries",877,121227
"Food and Nutrition Service",181,121227
"GSA programs",50,121227
"Health and Human Services Grants",542,121227
"Housing and Urban Development programs",231,121227
"Interest on Treasury Securities",2,121227
"IRS Tax Refunds Business",483,121227
"IRS Tax Refunds Individual",69,121227
"Justice Department programs",109,121227
"Labor Dept. prgms",63,121227
"Medicaid",1465,121227
"Medicare",3710,121227
"NASA programs",191,121227
"Postal Service Money Orders and Other",96,121227
"Public Debt Cash Redemp.",100428,121227
"Social Security Benefits",1,121227
"Supple. Nutrition Assist. Program",21,121227
"Transportation Security Admin.",1,121227
"Unemployment Insurance Benefits",387,121227
"Veterans Affairs programs",142,121227
"Emergency Prep &",89,121227
"Federal Crop Ins. Corp.",294,121227
"Federal Financing Bank",148,121227
"Unclassified",1632,121227
"Total, Other Withdrawals",2917,121227
"Transfers to Depositaries",0,121227
"Commodity Credit Corporation programs",10,121226
"Defense Vendor Payments",158,121226
"Education Department programs",126,121226
"Energy Department programs",72,121226
"Federal Employees Insurance Payments",40,121226
"Fed. Highway Administration programs",200,121226
"Federal Salaries",19,121226
"Food and Nutrition Service",419,121226
"GSA programs",0,121226
"Health and Human Services Grants",86,121226
"Housing and Urban Development programs",0,121226
"Interest on Treasury Securities",1,121226
"IRS Tax Refunds Business",58,121226
"IRS Tax Refunds Individual",4,121226
"Justice Department programs",78,121226
"Labor Dept. prgms",32,121226
"Medicaid",453,121226
"Medicare",2311,121226
"NASA programs",39,121226
"Postal Service Money Orders and Other",143,121226
"Public Debt Cash Redemp.",829,121226
"Social Security Benefits",11391,121226
"Supple. Nutrition Assist. Program",7,121226
"Transportation Security Admin.",0,121226
"Unemployment Insurance Benefits",494,121226
"Veterans Affairs programs",64,121226
"Unclassified",1,121226
"Total, Other Withdrawals",1,121226
"Transfers to Depositaries",0,121226
"Commodity Credit Corporation programs",83,121224
"Defense Vendor Payments",1789,121224
"Education Department programs",684,121224
"Energy Department programs",131,121224
"Federal Employees Insurance Payments",360,121224
"Fed. Highway Administration programs",33,121224
"Federal Salaries",519,121224
"Food and Nutrition Service",626,121224
"GSA programs",126,121224
"Health and Human Services Grants",521,121224
"Housing and Urban Development programs",179,121224
"Interest on Treasury Securities",1,121224
"IRS Tax Refunds Business",31,121224
"IRS Tax Refunds Individual",3,121224
"Justice Department programs",12,121224
"Labor Dept. prgms",130,121224
"Medicaid",352,121224
"Medicare",1081,121224
"NASA programs",72,121224
"Postal Service Money Orders and Other",256,121224
"Public Debt Cash Redemp.",1415,121224
"Social Security Benefits",77,121224
"Supple. Nutrition Assist. Program",7,121224
"Transportation Security Admin.",1,121224
"Unemployment Insurance Benefits",177,121224
"Veterans Affairs programs",156,121224
"Emergency Prep &",168,121224
"Federal Crop Ins. Corp.",141,121224
"Veterans Benefits",62,121224
"Unclassified",1470,121224
"Total, Other Withdrawals",2085,121224
"Transfers to Depositaries",0,121224
"Commodity Credit Corporation programs",86,121221
"Defense Vendor Payments",2088,121221
"Education Department programs",599,121221
"Energy Department programs",298,121221
"Federal Employees Insurance Payments",239,121221
"Fed. Highway Administration programs",271,121221
"Federal Salaries",4634,121221
"Food and Nutrition Service",327,121221
"GSA programs",50,121221
"Health and Human Services Grants",569,121221
"Housing and Urban Development programs",243,121221
"Interest on Treasury Securities",1,121221
"IRS Tax Refunds Business",287,121221
"IRS Tax Refunds Individual",7,121221
"Justice Department programs",54,121221
"Labor Dept. prgms",62,121221
"Medicaid",1161,121221
"Medicare",1722,121221
"NASA programs",134,121221
"Postal Service Money Orders and Other",141,121221
"Public Debt Cash Redemp.",886,121221
"Social Security Benefits",48,121221
"Supple. Nutrition Assist. Program",5,121221
"Transportation Security Admin.",1,121221
"Unemployment Insurance Benefits",152,121221
"Veterans Affairs programs",146,121221
"Emergency Prep &",363,121221
"Federal Crop Ins. Corp.",78,121221
"Federal Financing Bank",143,121221
"Treasury Department programs",244,121221
"Unclassified",1023,121221
"Total, Other Withdrawals",2303,121221
"Transfers to Depositaries",0,121221
"Commodity Credit Corporation programs",75,121220
"Defense Vendor Payments",2535,121220
"Education Department programs",665,121220
"Energy Department programs",377,121220
"Federal Employees Insurance Payments",167,121220
"Fed. Highway Administration programs",225,121220
"Federal Salaries",113,121220
"Food and Nutrition Service",368,121220
"GSA programs",42,121220
"Health and Human Services Grants",399,121220
"Housing and Urban Development programs",154,121220
"Interest on Treasury Securities",1,121220
"IRS Tax Refunds Business",10,121220
"IRS Tax Refunds Individual",9,121220
"Justice Department programs",54,121220
"Labor Dept. prgms",83,121220
"Medicaid",1510,121220
"Medicare",1768,121220
"NASA programs",186,121220
"Postal Service Money Orders and Other",123,121220
"Public Debt Cash Redemp.",125422,121220
"Social Security Benefits",53,121220
"Supple. Nutrition Assist. Program",14,121220
"Transportation Security Admin.",1,121220
"Unemployment Insurance Benefits",226,121220
"Veterans Affairs programs",133,121220
"Emergency Prep &",126,121220
"Federal Crop Ins. Corp.",304,121220
"Unclassified",1033,121220
"Total, Other Withdrawals",1833,121220
"Transfers to Depositaries",0,121220
"Commodity Credit Corporation programs",70,121219
"Defense Vendor Payments",1509,121219
"Education Department programs",720,121219
"Energy Department programs",137,121219
"Federal Employees Insurance Payments",243,121219
"Fed. Highway Administration programs",174,121219
"Federal Salaries",60,121219
"Food and Nutrition Service",409,121219
"GSA programs",72,121219
"Health and Human Services Grants",469,121219
"Housing and Urban Development programs",284,121219
"Interest on Treasury Securities",1,121219
"IRS Tax Refunds Business",70,121219
"IRS Tax Refunds Individual",78,121219
"Justice Department programs",49,121219
"Labor Dept. prgms",38,121219
"Medicaid",867,121219
"Medicare",1724,121219
"NASA programs",181,121219
"Postal Service Money Orders and Other",89,121219
"Public Debt Cash Redemp.",832,121219
"Social Security Benefits",11209,121219
"Supple. Nutrition Assist. Program",6,121219
"Transportation Security Admin.",1,121219
"Unemployment Insurance Benefits",369,121219
"Veterans Affairs programs",184,121219
"Emergency Prep &",98,121219
"Federal Crop Ins. Corp.",109,121219
"Unclassified",737,121219
"Total, Other Withdrawals",1422,121219
"Transfers to Depositaries",0,121219
"Commodity Credit Corporation programs",65,121218
"Defense Vendor Payments",2550,121218
"Education Department programs",342,121218
"Energy Department programs",76,121218
"Federal Employees Insurance Payments",194,121218
"Fed. Highway Administration programs",96,121218
"Federal Salaries",98,121218
"Food and Nutrition Service",409,121218
"GSA programs",49,121218
"Health and Human Services Grants",336,121218
"Housing and Urban Development programs",168,121218
"Interest on Treasury Securities",1,121218
"IRS Tax Refunds Business",9,121218
"IRS Tax Refunds Individual",3,121218
"Justice Department programs",59,121218
"Labor Dept. prgms",65,121218
"Medicaid",970,121218
"Medicare",1325,121218
"NASA programs",71,121218
"Postal Service Money Orders and Other",114,121218
"Public Debt Cash Redemp.",859,121218
"Social Security Benefits",41,121218
"Supple. Nutrition Assist. Program",19,121218
"Transportation Security Admin.",1,121218
"Unemployment Insurance Benefits",495,121218
"Veterans Affairs programs",133,121218
